,nodes count,HW Availability class,HW Availability,SW Availability class,failure function,Overall availability
4931,111,5,2.9549158620806595,6,n,2.9545250006022026
4932,111,5,2.9549158620806595,6,square_root_n,2.9508154650739518
4933,111,5,2.9549158620806595,6,n_squared,2.9549123392298244
4934,111,5,2.9549158620806595,6,n_log_n,2.954724717951244
4935,111,6,3.954700907186549,4,identity,1.9527664283120387
4936,111,6,3.954700907186549,4,n,3.6757427583805438
4937,111,6,3.954700907186549,4,square_root_n,2.9340515578221615
4938,111,6,3.954700907186549,4,n_squared,3.9511901507680514
4939,111,6,3.954700907186549,4,n_log_n,3.796194491752708
4940,111,6,3.954700907186549,5,identity,2.913547453261228
4941,111,6,3.954700907186549,5,n,3.917240347787661
4942,111,6,3.954700907186549,5,square_root_n,3.6648748321322664
4943,111,6,3.954700907186549,5,n_squared,3.954348583227108
4944,111,6,3.954700907186549,5,n_log_n,3.9359817964991364
4945,111,6,3.954700907186549,6,identity,3.6536950142094415
4946,111,6,3.954700907186549,6,n,3.950806078556267
4947,111,6,3.954700907186549,6,square_root_n,3.915322455236048
4948,111,6,3.954700907186549,6,n_squared,3.954665662203873
4949,111,6,3.954700907186549,6,n_log_n,3.952792281409523
4950,112,4,1.953190162273027,4,identity,1.6545855269355922
4951,112,4,1.953190162273027,4,n,1.9493512271593292
4952,112,4,1.953190162273027,4,square_root_n,1.914205602576314
4953,112,4,1.953190162273027,4,n_squared,1.953155733770983
4954,112,4,1.953190162273027,4,n_log_n,1.9513125083909437
4955,112,4,1.953190162273027,5,identity,1.9120419832394897
4956,112,4,1.953190162273027,5,n,1.9528047553010608
4957,112,4,1.953190162273027,5,square_root_n,1.9491288343773798
4958,112,4,1.953190162273027,5,n_squared,1.953186719608397
4959,112,4,1.953190162273027,5,n_log_n,1.9530020439163258
4960,112,4,1.953190162273027,6,identity,1.948893276217008
4961,112,4,1.953190162273027,6,n,1.953151606353429
4962,112,4,1.953190162273027,6,square_root_n,1.9527823002087854
4963,112,4,1.953190162273027,6,n_squared,1.9531898180080047
4964,112,4,1.953190162273027,6,n_log_n,1.9531713468972918
4965,112,5,2.951022989276877,4,identity,1.9120419832399267
4966,112,5,2.951022989276877,4,n,2.913899527694325
4967,112,5,2.951022989276877,4,square_root_n,2.6623339324649686
4968,112,5,2.951022989276877,4,n_squared,2.9506770713038954
4969,112,5,2.951022989276877,4,n_log_n,2.9325100193975384
4970,112,5,2.951022989276877,5,identity,2.650236131640743
4971,112,5,2.951022989276877,5,n,2.9471647205033653
4972,112,5,2.951022989276877,5,square_root_n,2.9118335543103457
4973,112,5,2.951022989276877,5,n_squared,2.950988388177776
4974,112,5,2.951022989276877,5,n_log_n,2.9491359014656715
4975,112,5,2.951022989276877,6,identity,2.909654797520027
4976,112,5,2.951022989276877,6,n,2.9506356180133513
4977,112,5,2.951022989276877,6,square_root_n,2.946940873112046
4978,112,5,2.951022989276877,6,n_squared,2.9510195290697334
4979,112,5,2.951022989276877,6,n_log_n,2.9508339123576333
4980,112,6,3.9508060804462812,4,identity,1.9488932762174838
4981,112,6,3.9508060804462812,4,n,3.6736896652517324
4982,112,6,3.9508060804462812,4,square_root_n,2.931919284586772
4983,112,6,3.9508060804462812,4,n_squared,3.9473574907649724
4984,112,6,3.9508060804462812,4,n_log_n,3.7937379941717353
4985,112,6,3.9508060804462812,5,identity,2.909654797520027
4986,112,6,3.9508060804462812,5,n,3.913666107281869
4987,112,6,3.9508060804462812,5,square_root_n,3.6619273825752607
4988,112,6,3.9508060804462812,5,n_squared,3.9504600175689943
4989,112,6,3.9508060804462812,5,n_log_n,3.9322851215344974
4990,112,6,3.9508060804462812,6,identity,3.649800404604519
4991,112,6,3.9508060804462812,6,n,3.9469458749016093
4992,112,6,3.9508060804462812,6,square_root_n,3.9115961197996176
4993,112,6,3.9508060804462812,6,n_squared,3.9507714620154157
4994,112,6,3.9508060804462812,6,n_log_n,3.9489180475223855
4995,113,4,1.9493514165505963,4,identity,1.6507683748668147
4996,113,4,1.9493514165505963,4,n,1.9455464956908863
4997,113,4,1.9493514165505963,4,square_root_n,1.9105341844171713
4998,113,4,1.9493514165505963,4,n_squared,1.949317596377143
4999,113,4,1.9493514165505963,4,n_log_n,1.9474939282076176
5000,113,4,1.9493514165505963,5,identity,1.908205400449745
5001,113,4,1.9493514165505963,5,n,1.9489694378883948
5002,113,4,1.9493514165505963,5,square_root_n,1.9453082180407109
5003,113,4,1.9493514165505963,5,n_squared,1.9493480347180652
5004,113,4,1.9493514165505963,5,n_log_n,1.9491653224366092
5005,113,4,1.9493514165505963,6,identity,1.9450547468235144
5006,113,4,1.9493514165505963,6,n,1.9493132037327678
5007,113,4,1.9493514165505963,6,square_root_n,1.9489453826929046
5008,113,4,1.9493514165505963,6,n_squared,1.9493510783694046
5009,113,4,1.9493514165505963,6,n_log_n,1.9493328036771818
5010,113,5,2.9471647395397755,4,identity,1.9082054004501823
5011,113,5,2.9471647395397755,4,n,2.910356445197682
5012,113,5,2.9471647395397755,4,square_root_n,2.659413442383925
5013,113,5,2.9471647395397755,4,n_squared,2.9468249162351143
5014,113,5,2.9471647395397755,4,n_log_n,2.9288460677237627
5015,113,5,2.9471647395397755,5,identity,2.646380052165433
5016,113,5,2.9471647395397755,5,n,2.94334048389367
5017,113,5,2.9471647395397755,5,square_root_n,2.9081417111483847
5018,113,5,2.9471647395397755,5,n_squared,2.94713074828998
5019,113,5,2.9471647395397755,5,n_log_n,2.945297834443654
5020,113,5,2.9471647395397755,6,identity,2.9057967648447645
5021,113,5,2.9471647395397755,6,n,2.946780796741607
5022,113,5,2.9471647395397755,6,square_root_n,2.9431006618687303
5023,113,5,2.9471647395397755,6,n_squared,2.947161340327709
5024,113,5,2.9471647395397755,6,n_log_n,2.9469776887517005
5025,113,6,3.946945876776179,4,identity,1.9450547468239903
5026,113,6,3.946945876776179,4,n,3.6716462343462224
5027,113,6,3.946945876776179,4,square_root_n,2.9298052259728244
5028,113,6,3.946945876776179,4,n_squared,3.9435578193036376
5029,113,6,3.946945876776179,4,n_log_n,3.7912921623586064
5030,113,6,3.946945876776179,5,identity,2.9057967648447645
5031,113,6,3.946945876776179,5,n,3.9101210464318275
5032,113,6,3.946945876776179,5,square_root_n,3.659003982734308
5033,113,6,3.946945876776179,5,n_squared,3.9466059096285666
5034,113,6,3.946945876776179,5,n_log_n,3.928619218032749
5035,113,6,3.946945876776179,6,identity,3.6459404180695745
