,overall availability class,nodes count,availability class HW,f1(n) / f2(n),minimum recover/failure time ratio,minimum availability class SW required cts
1649,4,111,6,n_log_n,-2.2488437891347686e-05,does not exist
1650,4,112,4,identity,-9.910718710293143e-05,does not exist
1651,4,112,4,n,-0.01110000495552832,does not exist
1652,4,112,4,square_root_n,-0.0010488518808540181,does not exist
1653,4,112,4,n_squared,-1.2432005550191718,does not exist
1654,4,112,4,n_log_n,-0.022746330206596957,does not exist
1655,4,112,5,identity,-9.107106741623738e-06,does not exist
1656,4,112,5,n,-0.0010199959550618587,does not exist
1657,4,112,5,square_root_n,-9.638055840662471e-05,does not exist
1658,4,112,5,n_squared,-0.11423954696692817,does not exist
1659,4,112,5,n_log_n,-0.0020901940941634453,does not exist
1660,4,112,6,identity,-1.0709870557068513e-07,does not exist
1661,4,112,6,n,-1.1995055023916734e-05,does not exist
1662,4,112,6,square_root_n,-1.133426162707843e-06,does not exist
1663,4,112,6,n_squared,-0.0013434461626786742,does not exist
1664,4,112,6,n_log_n,-2.4580482937930676e-05,does not exist
1665,4,113,4,identity,-9.911508810545033e-05,does not exist
1666,4,113,4,n,-0.011200004955915888,does not exist
1667,4,113,4,square_root_n,-0.0010536078388029787,does not exist
1668,4,113,4,n_squared,-1.2656005600184952,does not exist
1669,4,113,4,n_log_n,-0.02299448874189838,does not exist
1670,4,113,5,identity,-9.115008455351514e-06,does not exist
1671,4,113,5,n,-0.0010299959554547211,does not exist
1672,4,113,5,square_root_n,-9.689386896469584e-05,does not exist
1673,4,113,5,n_squared,-0.11638954296638349,does not exist
1674,4,113,5,n_log_n,-0.002114662493019197,does not exist
1675,4,113,6,identity,-1.1500049046375693e-07,does not exist
1676,4,113,6,n,-1.2995055422404533e-05,does not exist
1677,4,113,6,square_root_n,-1.2224719821657368e-06,does not exist
1678,4,113,6,n_squared,-0.0014684412627317123,does not exist
1679,4,113,6,n_log_n,-2.6679868159611078e-05,does not exist
1680,4,114,4,identity,-9.912285049396008e-05,does not exist
1681,4,114,4,n,-0.011300004956311449,does not exist
1682,4,114,4,square_root_n,-0.0010583424312884122,does not exist
1683,4,114,4,n_squared,-1.2882005650195052,does not exist
1684,4,114,4,n_log_n,-0.023243035014763207,does not exist
1685,4,114,5,identity,-9.12277154252461e-06,does not exist
1686,4,114,5,n,-0.0010399959558478056,does not exist
1687,4,114,5,square_root_n,-9.740454563493966e-05,does not exist
1688,4,114,5,n_squared,-0.11855953896664984,does not exist
1689,4,114,5,n_log_n,-0.0021391727269536634,does not exist
1690,4,114,6,identity,-1.2276364746988122e-07,does not exist
1691,4,114,6,n,-1.399505581156646e-05,does not exist
1692,4,114,6,square_root_n,-1.3107570705407074e-06,does not exist
1693,4,114,6,n_squared,-0.0015954363625185763,does not exist
1694,4,114,6,n_log_n,-2.8786498193535747e-05,does not exist
1695,4,115,4,identity,-9.913047788423501e-05,does not exist
1696,4,115,4,n,-0.011400004956687027,does not exist
1697,4,115,4,square_root_n,-0.0010630559436074062,does not exist
1698,4,115,4,n_squared,-1.311000570019008,does not exist
1699,4,115,4,n_log_n,-0.023491965594265425,does not exist
1700,4,115,5,identity,-9.130399619361462e-06,does not exist
1701,4,115,5,n,-0.0010499959562265682,does not exist
1702,4,115,5,square_root_n,-9.791262778141608e-05,does not exist
1703,4,115,5,n_squared,-0.12074953496605534,does not exist
1704,4,115,5,n_log_n,-0.0021637243993761143,does not exist
1705,4,115,6,identity,-1.303917929185161e-07,does not exist
1706,4,115,6,n,-1.4995056185629352e-05,does not exist
1707,4,115,6,square_root_n,-1.3982961992933028e-06,does not exist
1708,4,115,6,n_squared,-0.0017244314613473755,does not exist
1709,4,115,6,n_log_n,-3.0900279897707475e-05,does not exist
1710,4,116,4,identity,-9.91379737677045e-05,does not exist
1711,4,116,4,n,-0.011500004957053722,does not exist
1712,4,116,4,square_root_n,-0.0010677486547689319,does not exist
1713,4,116,4,n_squared,-1.3340005750182318,does not exist
1714,4,116,4,n_log_n,-0.023741277109738723,does not exist
1715,4,116,5,identity,-9.137896177624505e-06,does not exist
1716,4,116,5,n,-0.0010599959566044426,does not exist
1717,4,116,5,square_root_n,-9.841815381398477e-05,does not exist
1718,4,116,5,n_squared,-0.12295953096611534,does not exist
1719,4,116,5,n_log_n,-0.0021883171211602714,does not exist
1720,4,116,6,identity,-1.3788841868311863e-07,does not exist
1721,4,116,6,n,-1.599505656724176e-05,does not exist
1722,4,116,6,square_root_n,-1.4851037192075165e-06,does not exist
1723,4,116,6,n_squared,-0.0018554265618000443,does not exist
1724,4,116,6,n_log_n,-3.302112231837875e-05,does not exist
1725,4,117,4,identity,-9.914534151644894e-05,does not exist
1726,4,117,4,n,-0.011600004957424526,does not exist
1727,4,117,4,square_root_n,-0.001072420837682836,does not exist
1728,4,117,4,n_squared,-1.3572005800186695,does not exist
1729,4,117,4,n_log_n,-0.023990966249130788,does not exist
1730,4,117,5,identity,-9.145264589505153e-06,does not exist
1731,4,117,5,n,-0.001069995956972103,does not exist
1732,4,117,5,square_root_n,-9.892116121543789e-05,does not exist
1733,4,117,5,n_squared,-0.12518952696573604,does not exist
1734,4,117,5,n_log_n,-0.0022129505103352575,does not exist
1735,4,117,6,identity,-1.452568968440815e-07,does not exist
1736,4,117,6,n,-1.6995056930757535e-05,does not exist
1737,4,117,6,square_root_n,-1.5711935690583576e-06,does not exist
1738,4,117,6,n_squared,-0.0019884216608986316,does not exist
1739,4,117,6,n_log_n,-3.514893646376385e-05,does not exist
1740,4,118,4,identity,-9.915258438808472e-05,does not exist
1741,4,118,4,n,-0.011700004957793997,does not exist
1742,4,118,4,square_root_n,-0.0010770727593429697,does not exist
1743,4,118,4,n_squared,-1.3806005850196916,does not exist
1744,4,118,4,n_log_n,-0.024241029757445846,does not exist
1745,4,118,5,identity,-9.152508113063895e-06,does not exist
1746,4,118,5,n,-0.0010799959573415396,does not exist
1747,4,118,5,square_root_n,-9.942168657614218e-05,does not exist
1748,4,118,5,n_squared,-0.12743952296630168,does not exist
1749,4,118,5,n_log_n,-0.00223762419197929,does not exist
1750,4,118,6,identity,-1.5250048557291507e-07,does not exist
1751,4,118,6,n,-1.7995057297603978e-05,does not exist
1752,4,118,6,square_root_n,-1.6565792995800216e-06,does not exist
1753,4,118,6,n_squared,-0.0021234167611172694,does not exist
1754,4,118,6,n_log_n,-3.728363543534847e-05,does not exist
1755,4,119,4,identity,-9.915970553064923e-05,does not exist
1756,4,119,4,n,-0.011800004958147259,does not exist
